Magic,Symbol,Signal,EntryPrice,StopLoss,TakeProfit,LotSize,Timestamp
123450,USDJPY,BUY,150.10361,149.8168,150.62444,0.09,2025-09-29 18:31:51
123451,USDCHF,BUY,0.88098,0.876,0.88695,0.01,2025-09-29 18:00:51
123452,XAUCHF,BUY,2329.17421,2329.16976,2329.18155,0.02,2025-09-29 18:33:51
123453,USDJPY,SELL,148.93063,149.34313,148.20452,0.07,2025-09-29 18:39:51
123454,USDCHF,SELL,0.88018,0.8841,0.87132,0.04,2025-09-29 18:56:51
123455,USDCAD,BUY,1.36641,1.3636,1.37381,0.06,2025-09-29 18:19:51
123456,USDJPY,BUY,148.83231,148.48792,149.68426,0.09,2025-09-29 18:01:51
123457,XAUAUD,SELL,4040.64437,4040.64864,4040.63628,0.07,2025-09-29 18:30:51
123458,NZDUSD,BUY,0.58793,0.58488,0.59485,0.04,2025-09-29 18:37:51
123459,USDJPY,SELL,148.95246,149.32537,148.47825,0.06,2025-09-29 18:06:51
123460,XAUUSD,BUY,2659.183,2659.17822,2659.19248,0.07,2025-09-29 18:48:51
123461,USDCAD,SELL,1.36493,1.36718,1.3575,0.05,2025-09-29 18:21:51
123462,XAUCAD,SELL,3633.91867,3633.9222,3633.90959,0.05,2025-09-29 18:51:51
123463,XAUCAD,SELL,3636.96432,3636.96717,3636.96018,0.03,2025-09-29 18:12:51
123464,XAUUSD,BUY,2663.17447,2663.17244,2663.17939,0.09,2025-09-29 18:14:51
